Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
no checking account,24,existing credits paid back duly till now,radio/television,3430,"[500,1000DM]",>=7years,3,male:single,none,2,car or other,31,none,own,1,0,2,yes,yes,0
no checking account,9,critical account,car(new),2134,<100DM,"[1,4years]",4,male:single,none,4,car or other,48,none,own,3,0,1,yes,yes,0
<0DM,6,existing credits paid back duly till now,radio/television,2647,"[500,1000DM]","[1,4years]",2,male:single,none,3,real estate,44,none,rent,1,0,2,no,yes,0
<0DM,10,critical account,car(new),2241,<100DM,<1year,1,male:single,none,3,real estate,48,none,rent,2,0,2,no,no,0
"[0DM,200DM]",12,critical account,car(used),1804,"[100,500DM]",<1year,3,male:single,none,4,life insurance,44,none,own,1,1,1,no,yes,0
no checking account,10,critical account,furniture/equipment,2069,unknown,"[1,4years]",2,male:married/widowed,none,1,car or other,26,none,own,2,0,1,no,no,0
<0DM,6,existing credits paid back duly till now,furniture/equipment,1374,<100DM,"[1,4years]",1,male:single,none,2,real estate,36, bank,own,1,0,1,yes,yes,0
no checking account,6,nocreditstaken,radio/television,426,<100DM,>=7years,4,male:married/widowed,none,4,car or other,39,none,own,1,0,1,no,yes,0
>=200DM,12,all credits at this bank paid back duly,radio/television,409,>=1000DM,"[1,4years]",3,female:divorced/separated/married,none,3,real estate,42,none,rent,2,0,1,no,yes,0
"[0DM,200DM]",7,existing credits paid back duly till now,radio/television,2415,<100DM,"[1,4years]",3,male:single,guarantor,2,real estate,34,none,own,1,0,1,no,yes,0
<0DM,60,delay in paying off in the past,business,6836,<100DM,>=7years,3,male:single,none,4,no property,63,none,own,2,0,1,yes,yes,1
"[0DM,200DM]",18,existing credits paid back duly till now,business,1913,>=1000DM,<1year,3,male:married/widowed,none,3,real estate,36, bank,own,1,0,1,yes,yes,0
<0DM,24,existing credits paid back duly till now,furniture/equipment,4020,<100DM,"[1,4years]",2,male:single,none,2,car or other,27,stores,own,1,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,car(new),5866,"[100,500DM]","[1,4years]",2,male:single,none,2,car or other,30,none,own,2,0,1,yes,yes,0
no checking account,12,critical account,business,1264,unknown,>=7years,4,male:single,none,4,no property,57,none,rent,1,0,1,no,yes,0
>=200DM,12,existing credits paid back duly till now,furniture/equipment,1474,<100DM,<1year,4,female:divorced/separated/married,none,1,life insurance,33, bank,own,1,0,1,yes,yes,0
"[0DM,200DM]",45,critical account,radio/television,4746,<100DM,<1year,4,male:single,none,2,life insurance,25,none,own,2,0,1,no,yes,1
no checking account,48,critical account,education,6110,<100DM,"[1,4years]",1,male:single,none,3,no property,31, bank,for free,1,0,1,yes,yes,0
>=200DM,18,existing credits paid back duly till now,radio/television,2100,<100DM,"[1,4years]",4,male:single,co-applicant,2,real estate,37,stores,own,1,0,1,no,yes,1
>=200DM,10,existing credits paid back duly till now,domesticappliances,1225,<100DM,"[1,4years]",2,male:single,none,2,car or other,37,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,radio/television,458,<100DM,"[1,4years]",4,male:single,none,3,real estate,24,none,own,1,0,1,no,yes,0
no checking account,30,existing credits paid back duly till now,radio/television,2333,"[500,1000DM]",>=7years,4,male:single,none,2,car or other,30, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1158,"[500,1000DM]","[1,4years]",3,male:divorced/separated,none,1,car or other,26,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",18,delay in paying off in the past,repairs,6204,<100DM,"[1,4years]",2,male:single,none,4,real estate,44,none,own,1,0,2,yes,yes,0
<0DM,30,critical account,car(used),6187,"[100,500DM]","[4,7years]",1,male:married/widowed,none,4,car or other,24,none,rent,2,1,1,no,yes,0
<0DM,48,critical account,car(used),6143,<100DM,>=7years,4,female:divorced/separated/married,none,4,no property,58,stores,for free,2,1,1,no,yes,1
no checking account,11,critical account,car(new),1393,<100DM,<1year,4,female:divorced/separated/married,none,4,car or other,35,none,own,2,0,1,no,yes,0
no checking account,36,existing credits paid back duly till now,radio/television,2299,"[500,1000DM]",>=7years,4,male:single,none,4,car or other,39,none,own,1,0,1,no,yes,0
<0DM,6,existing credits paid back duly till now,car(used),1352,"[500,1000DM]",unemployed,1,female:divorced/separated/married,none,2,life insurance,23,none,rent,1,1,1,yes,yes,0
no checking account,11,critical account,car(new),7228,<100DM,"[1,4years]",1,male:single,none,4,life insurance,39,none,own,2,0,1,no,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2073,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,co-applicant,2,real estate,28,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,delay in paying off in the past,furniture/equipment,2333,unknown,<1year,4,male:single,none,2,life insurance,29, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",27,delay in paying off in the past,car(used),5965,<100DM,>=7years,1,male:single,none,2,car or other,30,none,own,2,1,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,1262,<100DM,"[1,4years]",3,male:single,none,2,car or other,25,none,own,1,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,car(used),3378,unknown,"[1,4years]",2,male:single,none,1,life insurance,31,none,own,1,1,1,yes,yes,0
"[0DM,200DM]",36,delay in paying off in the past,car(new),2225,<100DM,>=7years,4,male:single,none,4,no property,57, bank,for free,2,0,1,yes,yes,1
no checking account,6,all credits at this bank paid back duly,car(new),783,unknown,"[1,4years]",1,male:single,guarantor,2,real estate,26,stores,own,1,0,2,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,6468,unknown,unemployed,2,male:single,none,1,no property,52,none,own,1,0,1,yes,yes,1
no checking account,36,critical account,radio/television,9566,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,car or other,31,stores,own,2,0,1,no,yes,0
>=200DM,18,existing credits paid back duly till now,car(new),1961,<100DM,>=7years,3,female:divorced/separated/married,none,2,car or other,23,none,own,1,0,1,no,yes,0
<0DM,36,critical account,furniture/equipment,6229,<100DM,<1year,4,female:divorced/separated/married,co-applicant,4,no property,23,none,rent,2,0,1,yes,yes,1
"[0DM,200DM]",9,existing credits paid back duly till now,business,1391,<100DM,"[1,4years]",2,male:married/widowed,none,1,real estate,27, bank,own,1,0,1,yes,yes,0
"[0DM,200DM]",15,critical account,radio/television,1537,unknown,>=7years,4,male:single,guarantor,4,real estate,50,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",36,nocreditstaken,business,1953,<100DM,>=7years,4,male:single,none,4,no property,61,none,for free,1,0,1,yes,yes,1
"[0DM,200DM]",48,nocreditstaken,business,14421,<100DM,"[1,4years]",2,male:single,none,2,car or other,25,none,own,1,0,1,yes,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3181,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,26,none,own,1,0,1,yes,yes,0
no checking account,27,existing credits paid back duly till now,repairs,5190,unknown,>=7years,4,male:single,none,4,life insurance,48,none,own,4,0,2,yes,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2171,<100DM,<1year,2,female:divorced/separated/married,none,2,car or other,29, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),1007,>=1000DM,"[1,4years]",4,male:married/widowed,none,1,real estate,22,none,own,1,0,1,no,yes,0
no checking account,36,existing credits paid back duly till now,education,1819,<100DM,"[1,4years]",4,male:single,none,4,no property,37,stores,for free,1,0,1,yes,yes,1
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown,"[1,4years]",4,female:divorced/separated/married,none,4,car or other,25,none,own,1,0,1,no,yes,0
no checking account,36,existing credits paid back duly till now,car(used),8133,<100DM,"[1,4years]",1,female:divorced/separated/married,none,2,life insurance,30, bank,own,1,1,1,no,yes,0
no checking account,7,critical account,radio/television,730,unknown,>=7years,4,male:single,none,2,life insurance,46,none,rent,2,0,1,yes,yes,0
<0DM,8,critical account,car(used)0,1164,<100DM,>=7years,3,male:single,none,4,no property,51, bank,for free,2,0,2,yes,yes,0
"[0DM,200DM]",42,critical account,business,5954,<100DM,"[4,7years]",2,female:divorced/separated/married,none,1,real estate,41, bank,own,2,0,1,no,yes,0
<0DM,36,existing credits paid back duly till now,education,1977,unknown,>=7years,4,male:single,none,4,no property,40,none,own,1,0,1,yes,yes,1
<0DM,12,critical account,car(used),1526,<100DM,>=7years,4,male:single,none,4,no property,66,none,for free,2,1,1,no,yes,0
<0DM,42,existing credits paid back duly till now,radio/television,3965,<100DM,<1year,4,male:single,none,3,car or other,34,none,own,1,0,1,no,yes,1
"[0DM,200DM]",11,delay in paying off in the past,radio/television,4771,<100DM,"[4,7years]",2,male:single,none,4,life insurance,51,none,own,1,0,1,no,yes,0
no checking account,54,nocreditstaken,car(used),9436,unknown,"[1,4years]",2,male:single,none,2,life insurance,39,none,own,1,1,2,no,yes,0
"[0DM,200DM]",30,existing credits paid back duly till now,furniture/equipment,3832,<100DM,<1year,2,male:married/widowed,none,1,life insurance,22,none,own,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown,<1year,1,female:divorced/separated/married,none,1,car or other,44,none,own,2,0,1,yes,yes,1
no checking account,15,existing credits paid back duly till now,radio/television,1213,"[500,1000DM]",>=7years,4,male:single,none,3,life insurance,47,stores,own,1,0,1,yes,yes,0
no checking account,18,existing credits paid back duly till now,business,1568,"[100,500DM]","[1,4years]",3,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,car(used)0,1755,<100DM,>=7years,4,female:divorced/separated/married,guarantor,4,real estate,58,none,own,1,0,1,yes,yes,0
<0DM,10,existing credits paid back duly till now,radio/television,2315,<100DM,>=7years,3,male:single,none,4,real estate,52,none,own,1,0,1,no,yes,0
no checking account,12,critical account,business,1412,<100DM,"[1,4years]",4,female:divorced/separated/married,guarantor,2,real estate,29,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",18,critical account,furniture/equipment,1295,<100DM,<1year,4,female:divorced/separated/married,none,1,life insurance,27,none,own,2,0,1,no,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,education,12612,"[100,500DM]","[1,4years]",1,male:single,none,4,no property,47,none,for free,1,0,2,yes,yes,1
<0DM,18,existing credits paid back duly till now,car(new),2249,"[100,500DM]","[4,7years]",4,male:single,none,3,car or other,30,none,own,1,0,2,yes,yes,0
<0DM,12,nocreditstaken,repairs,1108,<100DM,"[4,7years]",4,male:single,none,3,real estate,28,none,own,2,0,1,no,yes,1
no checking account,12,critical account,radio/television,618,<100DM,>=7years,4,male:single,none,4,real estate,56,none,own,1,0,1,no,yes,0
<0DM,12,critical account,car(used),1409,<100DM,>=7years,4,male:single,none,3,real estate,54,none,own,1,1,1,no,yes,0
no checking account,12,critical account,radio/television,797,unknown,>=7years,4,female:divorced/separated/married,none,3,life insurance,33, bank,own,1,0,2,no,yes,1
>=200DM,24,critical account,furniture/equipment,3617,unknown,>=7years,4,male:single,co-applicant,4,no property,20,none,rent,2,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),1318,>=1000DM,>=7years,4,male:single,none,4,real estate,54,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",54,nocreditstaken,business,15945,<100DM,<1year,3,male:single,none,4,no property,58,none,rent,1,0,1,yes,yes,1
no checking account,12,critical account,education,2012,unknown,"[4,7years]",4,female:divorced/separated/married,none,2,car or other,61,none,own,1,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,business,2622,"[100,500DM]","[1,4years]",4,male:single,none,4,car or other,34,none,own,1,0,1,no,yes,0
"[0DM,200DM]",36,critical account,radio/television,2337,<100DM,>=7years,4,male:single,none,4,real estate,36,none,own,1,0,1,no,yes,0
"[0DM,200DM]",20,delay in paying off in the past,car(used),7057,unknown,"[4,7years]",3,male:single,none,4,life insurance,36, bank,rent,2,1,2,yes,yes,0
no checking account,24,existing credits paid back duly till now,car(new),1469,"[100,500DM]",>=7years,4,male:married/widowed,none,4,real estate,41,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,radio/television,2323,<100DM,"[4,7years]",4,male:single,none,4,car or other,24,none,rent,1,0,1,no,yes,0
no checking account,6,delay in paying off in the past,radio/television,932,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,real estate,24,none,own,1,0,1,no,yes,0
"[0DM,200DM]",9,critical account,furniture/equipment,1919,<100DM,"[4,7years]",4,male:single,none,3,car or other,35,none,rent,1,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,car(used),2445,unknown,<1year,2,male:married/widowed,none,4,car or other,26,none,rent,1,1,1,yes,yes,0
"[0DM,200DM]",24,critical account,car(used)0,11938,<100DM,"[1,4years]",2,male:single,co-applicant,3,car or other,39,none,own,2,0,2,yes,yes,1
no checking account,18,all credits at this bank paid back duly,car(new),6458,<100DM,>=7years,2,male:single,none,4,no property,39, bank,own,2,0,2,yes,yes,1
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),6078,<100DM,"[4,7years]",2,male:single,none,2,car or other,32,none,own,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown,<1year,1,female:divorced/separated/married,none,2,life insurance,30,none,own,1,0,1,yes,no,0
"[0DM,200DM]",14,existing credits paid back duly till now,business,1410,"[500,1000DM]",>=7years,1,male:married/widowed,none,2,real estate,35,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",6,delay in paying off in the past,business,1449,"[100,500DM]",>=7years,1,male:divorced/separated,none,2,car or other,31, bank,own,2,0,2,no,yes,0
>=200DM,15,existing credits paid back duly till now,education,392,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,23,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,car(new),6260,<100DM,"[4,7years]",3,male:single,none,3,real estate,28,none,rent,1,0,1,no,yes,0
no checking account,36,critical account,car(new),7855,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,real estate,25,stores,own,2,0,1,yes,yes,1
<0DM,12,existing credits paid back duly till now,radio/television,1680,"[500,1000DM]",>=7years,3,male:married/widowed,none,1,real estate,35,none,own,1,0,1,no,yes,0
no checking account,48,critical account,radio/television,3578,unknown,>=7years,4,male:single,none,1,real estate,47,none,own,1,0,1,yes,yes,0
<0DM,42,existing credits paid back duly till now,radio/television,7174,unknown,"[4,7years]",4,female:divorced/separated/married,none,3,car or other,30,none,own,1,0,1,yes,yes,1
<0DM,10,critical account,furniture/equipment,2132,unknown,<1year,2,female:divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,0,1,no,no,0
<0DM,33,critical account,furniture/equipment,4281,"[500,1000DM]","[1,4years]",1,female:divorced/separated/married,none,4,car or other,23,none,own,2,0,1,no,yes,1
"[0DM,200DM]",12,critical account,car(new),2366,"[500,1000DM]","[4,7years]",3,male:divorced/separated,none,3,car or other,36,none,own,1,0,1,yes,yes,0
<0DM,21,existing credits paid back duly till now,radio/television,1835,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,real estate,25,none,own,2,0,1,yes,yes,1
no checking account,24,critical account,car(used),3868,<100DM,>=7years,4,female:divorced/separated/married,none,2,car or other,41,none,rent,2,1,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,<100DM,"[1,4years]",3,male:single,none,2,real estate,24,none,rent,1,0,1,no,yes,0
>=200DM,10,critical account,car(new),781,<100DM,>=7years,4,male:single,none,4,no property,63,none,for free,2,0,1,yes,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,furniture/equipment,1924,unknown,<1year,4,female:divorced/separated/married,none,3,real estate,27,none,rent,1,0,1,no,yes,1
<0DM,12,critical account,car(new),2121,<100DM,"[1,4years]",4,male:single,none,2,life insurance,30,none,own,2,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,radio/television,701,<100DM,"[1,4years]",4,male:married/widowed,none,2,real estate,40,none,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,repairs,639,<100DM,"[1,4years]",4,male:single,none,2,car or other,30,none,own,1,0,1,no,yes,1
"[0DM,200DM]",12,critical account,car(used),1860,<100DM,unemployed,4,male:single,none,2,car or other,34,none,own,2,1,1,yes,yes,0
<0DM,12,critical account,car(new),3499,<100DM,"[1,4years]",3,female:divorced/separated/married,co-applicant,2,real estate,29,none,own,2,0,1,no,yes,1
"[0DM,200DM]",48,existing credits paid back duly till now,car(new),8487,unknown,"[4,7years]",1,female:divorced/separated/married,none,2,car or other,24,none,own,1,0,1,no,yes,0
<0DM,36,delay in paying off in the past,education,6887,<100DM,"[1,4years]",4,male:single,none,3,life insurance,29,stores,own,1,0,1,yes,yes,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,<100DM,<1year,2,male:single,none,3,life insurance,27, bank,own,2,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,<100DM,"[1,4years]",4,male:single,none,4,no property,47, bank,for free,2,0,1,no,yes,0
no checking account,60,existing credits paid back duly till now,radio/television,10144,"[100,500DM]","[4,7years]",2,female:divorced/separated/married,none,4,real estate,21,none,own,1,0,1,yes,yes,0
no checking account,12,critical account,radio/television,1240,unknown,>=7years,4,female:divorced/separated/married,none,2,real estate,38,none,own,2,0,1,yes,yes,0
no checking account,27,delay in paying off in the past,car(used),8613,>=1000DM,"[1,4years]",2,male:single,none,2,car or other,27,none,own,2,1,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,766,"[500,1000DM]","[1,4years]",4,male:single,none,3,real estate,66,none,own,1,0,1,no,yes,1
"[0DM,200DM]",15,critical account,radio/television,2728,unknown,"[4,7years]",4,male:single,guarantor,2,real estate,35, bank,own,3,0,1,yes,yes,0
>=200DM,12,existing credits paid back duly till now,radio/television,1881,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,car or other,44,none,rent,1,0,1,yes,yes,0
>=200DM,6,existing credits paid back duly till now,car(new),709,>=1000DM,<1year,2,male:married/widowed,none,2,real estate,27,none,own,1,0,1,no,no,0
"[0DM,200DM]",36,existing credits paid back duly till now,radio/television,4795,<100DM,<1year,4,female:divorced/separated/married,none,1,no property,30,none,own,1,0,1,yes,yes,0
<0DM,27,existing credits paid back duly till now,radio/television,3416,<100DM,"[1,4years]",3,male:single,none,2,car or other,27,none,own,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,2462,<100DM,"[1,4years]",2,male:single,none,2,car or other,22,none,own,1,0,1,no,yes,1
no checking account,21,critical account,furniture/equipment,2288,<100DM,<1year,4,female:divorced/separated/married,none,4,life insurance,23,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",48,all credits at this bank paid back duly,business,3566,"[100,500DM]","[4,7years]",4,male:single,none,2,car or other,30,none,own,1,0,1,no,yes,0
<0DM,6,critical account,car(new),860,<100DM,>=7years,1,female:divorced/separated/married,none,4,no property,39,none,own,2,0,1,yes,yes,0
no checking account,12,critical account,car(new),682,"[100,500DM]","[4,7years]",4,female:divorced/separated/married,none,3,car or other,51,none,own,2,0,1,yes,yes,0
<0DM,36,critical account,furniture/equipment,5371,<100DM,"[1,4years]",3,male:single,guarantor,2,life insurance,28,none,own,2,0,1,no,yes,0
no checking account,18,critical account,radio/television,1582,>=1000DM,>=7years,4,male:single,none,4,car or other,46,none,own,2,0,1,no,yes,0
no checking account,6,existing credits paid back duly till now,radio/television,1346,"[100,500DM]",>=7years,2,male:single,none,4,no property,42, bank,for free,1,0,2,yes,yes,0
no checking account,10,existing credits paid back duly till now,radio/television,1924,<100DM,"[1,4years]",1,male:single,none,4,life insurance,38,none,own,1,0,1,yes,no,0
>=200DM,36,existing credits paid back duly till now,radio/television,5848,<100DM,"[1,4years]",4,male:single,none,1,car or other,24,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,critical account,car(used),7758,>=1000DM,>=7years,2,female:divorced/separated/married,none,4,no property,29,none,rent,1,1,1,no,yes,0
"[0DM,200DM]",24,delay in paying off in the past,business,6967,"[100,500DM]","[4,7years]",4,male:single,none,4,car or other,36,none,rent,1,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,1282,<100DM,"[1,4years]",2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,0,1,no,yes,1
<0DM,9,critical account,repairs,1288,"[100,500DM]",>=7years,3,male:single,guarantor,4,real estate,48,none,own,2,0,2,no,no,0
<0DM,12,all credits at this bank paid back duly,retraining,339,<100DM,>=7years,4,male:married/widowed,none,1,car or other,45, bank,own,1,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(new),3512,"[100,500DM]","[4,7years]",2,male:single,none,3,car or other,38, bank,own,2,0,1,yes,yes,0
no checking account,6,critical account,radio/television,1898,unknown,"[1,4years]",1,male:single,none,2,real estate,34,none,own,2,0,2,no,yes,0
no checking account,24,critical account,radio/television,2872,"[100,500DM]",>=7years,3,male:single,none,4,real estate,36,none,own,1,0,2,yes,yes,0
no checking account,18,critical account,car(new),1055,<100DM,<1year,4,female:divorced/separated/married,none,1,life insurance,30,none,own,2,0,1,no,yes,0
no checking account,15,existing credits paid back duly till now,domesticappliances,1262,"[500,1000DM]","[4,7years]",4,male:single,none,3,life insurance,36,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",10,existing credits paid back duly till now,car(new),7308,<100DM,unemployed,2,male:single,none,4,no property,70, bank,for free,1,0,1,yes,yes,0
no checking account,36,existing credits paid back duly till now,car(new),909,"[500,1000DM]",>=7years,4,male:single,none,4,life insurance,36,none,own,1,0,1,no,yes,0
no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,"[500,1000DM]","[1,4years]",1,male:single,none,2,car or other,32,none,own,1,0,1,yes,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,1131,<100DM,unemployed,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,0,1,no,yes,1
"[0DM,200DM]",11,existing credits paid back duly till now,furniture/equipment,1577,>=1000DM,<1year,4,female:divorced/separated/married,none,1,real estate,20,none,own,1,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,<100DM,"[4,7years]",2,female:divorced/separated/married,none,4,life insurance,25,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",24,critical account,business,1935,<100DM,>=7years,4,male:divorced/separated,none,4,real estate,31,none,own,2,0,1,yes,yes,1
<0DM,15,nocreditstaken,car(new),950,<100DM,>=7years,4,male:single,none,3,car or other,33,none,rent,2,0,2,no,yes,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,763,<100DM,"[1,4years]",4,female:divorced/separated/married,none,1,real estate,26,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",24,delay in paying off in the past,furniture/equipment,2064,<100DM,unemployed,3,female:divorced/separated/married,none,2,life insurance,34,none,own,1,0,1,yes,yes,1
"[0DM,200DM]",8,existing credits paid back duly till now,radio/television,1414,<100DM,"[1,4years]",4,male:single,guarantor,2,real estate,33,none,own,1,0,1,no,no,0
<0DM,21,delay in paying off in the past,education,3414,<100DM,<1year,2,male:single,none,1,life insurance,26,none,own,2,0,1,no,yes,1
no checking account,30,all credits at this bank paid back duly,car(used),7485,unknown,unemployed,4,female:divorced/separated/married,none,1,real estate,53, bank,own,1,1,1,yes,yes,1
<0DM,12,existing credits paid back duly till now,furniture/equipment,2577,<100DM,"[1,4years]",2,male:divorced/separated,none,1,car or other,42,none,own,1,0,1,no,yes,0
<0DM,6,critical account,radio/television,338,"[500,1000DM]",>=7years,4,male:single,none,4,car or other,52,none,own,2,0,1,no,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,1963,<100DM,"[4,7years]",4,male:single,none,2,car or other,31,none,rent,2,0,2,yes,yes,0
<0DM,21,critical account,car(new),571,<100DM,>=7years,4,male:single,none,4,real estate,65,none,own,2,0,1,no,yes,0
no checking account,36,delay in paying off in the past,business,9572,<100DM,<1year,1,male:divorced/separated,none,1,car or other,28,none,own,2,0,1,no,yes,1
"[0DM,200DM]",36,delay in paying off in the past,business,4455,<100DM,"[1,4years]",2,male:divorced/separated,none,2,real estate,30,stores,own,2,0,1,yes,yes,1
<0DM,21,all credits at this bank paid back duly,car(new),1647,unknown,"[1,4years]",4,male:single,none,2,life insurance,40,none,own,2,0,2,no,yes,1
